commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,mode_paiement,region_livraison,devise,source,annees,mois,trimestre,jour_semaine,montant_attendu,ville,region,segment,date_inscription,nom,categorie,fournisseur,tranche_montant,saison,est_annulee,ca_perdu,delai_inscription_commande
CMD-Q1-00048,CLI9966,PRD0083,3.0,173.76,521.28,2024-01-29,livrée,CB,Occitanie,EUR,Q1_2024,2024,1,1,0,521.28,,,,,Produit_Acc_83,Accessoires,DataStore,Grand,Hiver,False,0.0,
CMD-Q1-00049,CLI0016,PRD0087,8.0,72.84,582.72,2024-03-17,retournée,CB,Occitanie,EUR,Q1_2024,2024,3,1,6,582.72,Paris,PACA,Particulier,2020-03-03,Produit_Acc_87,Accessoires,ElecPlus,Grand,Printemps,False,0.0,1475 days
CMD-Q1-00050,CLI0491,PRD0010,1.0,81.94,81.94,2024-03-20,en_cours,CB,Île-de-France,EUR,Q1_2024,2024,3,1,2,81.94,Montpellier,PACA,Particulier,2022-06-11,Produit_Inf_10,Informatique,MediaShop,Petit,Printemps,False,0.0,648 days
CMD-Q1-00051,CLI0495,PRD0134,7.0,487.38,3411.66,2024-03-09,annulée,CB,Occitanie,EUR,Q1_2024,2024,3,1,5,3411.66,Nice,PACA,Startup,2021-12-09,Produit_Rés_134,Réseau,DataStore,Très grand,Printemps,True,3411.66,821 days
CMD-Q1-00052,CLI0302,PRD0068,9.0,12.48,112.32,2024-03-07,retournée,CB,Occitanie,EUR,Q1_2024,2024,3,1,3,112.32000000000001,Montpellier,Occitanie,Particulier,2023-12-18,Produit_Aud_68,Audio,TechPro,Moyen,Printemps,False,0.0,80 days
CMD-Q1-00053,CLI0076,PRD0063,2.0,86.81,173.62,2024-03-17,livrée,CB,PACA,EUR,Q1_2024,2024,3,1,6,173.62,Lyon,Nouvelle-Aquitaine,Particulier,2020-02-24,Produit_Aud_63,Audio,ElecPlus,Moyen,Printemps,False,0.0,1483 days
CMD-Q1-00054,CLI0427,PRD0051,1.0,10.76,10.76,2024-03-26,livrée,Virement,Auvergne-RA,EUR,Q1_2024,2024,3,1,1,10.76,Strasbourg,PACA,Particulier,2022-10-11,Produit_Tél_51,Téléphonie,TechPro,Petit,Printemps,False,0.0,532 days
CMD-Q1-00055,CLI0410,PRD0037,1.0,48.24,48.24,2024-02-09,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,4,48.24,Lille,Nouvelle-Aquitaine,Particulier,2023-10-12,Produit_Tél_37,Téléphonie,TechPro,Petit,Hiver,False,0.0,120 days
CMD-Q1-00056,CLI0282,PRD0085,7.0,181.81,1272.67,2024-03-25,retournée,CB,PACA,EUR,Q1_2024,2024,3,1,0,1272.67,Lyon,Nouvelle-Aquitaine,Startup,2020-09-03,Produit_Acc_85,Accessoires,DataStore,Grand,Printemps,False,0.0,1299 days
CMD-Q1-00057,CLI0313,PRD0149,1.0,123.18,123.18,2024-01-23,livrée,CB,PACA,EUR,Q1_2024,2024,1,1,1,123.18,Montpellier,Occitanie,Particulier,2023-07-15,Produit_Rés_149,Réseau,ElecPlus,Moyen,Hiver,False,0.0,192 days
CMD-Q1-00058,CLI0313,PRD0109,5.0,18.3,91.5,2024-01-31,livrée,CB,Occitanie,EUR,Q1_2024,2024,1,1,2,91.5,Montpellier,Occitanie,Particulier,2023-07-15,Produit_Sto_109,Stockage,TechPro,Petit,Hiver,False,0.0,200 days
CMD-Q1-00059,CLI0498,PRD0058,9.0,118.62,1067.58,2024-02-10,livrée,CB,Occitanie,EUR,Q1_2024,2024,2,1,5,1067.58,Lyon,Nouvelle-Aquitaine,Particulier,2020-06-18,Produit_Aud_58,Audio,TechPro,Grand,Hiver,False,0.0,1332 days
CMD-Q1-00060,CLI0381,PRD0116,1.0,52.36,52.36,2024-03-28,livrée,Chèque,Nouvelle-Aquitaine,EUR,Q1_2024,2024,3,1,3,52.36,Lyon,Auvergne-RA,Particulier,2023-01-07,Produit_Sto_116,Stockage,DataStore,Petit,Printemps,False,0.0,446 days
CMD-Q1-00061,CLI0016,PRD0025,7.0,111.14,777.98,2024-02-23,annulée,CB,PACA,EUR,Q1_2024,2024,2,1,4,777.98,Paris,PACA,Particulier,2020-03-03,Produit_Inf_25,Informatique,MediaShop,Grand,Hiver,True,777.98,1452 days
CMD-Q1-00062,CLI0070,PRD0122,5.0,108.11,540.55,2024-02-17,livrée,Virement,Auvergne-RA,EUR,Q1_2024,2024,2,1,5,540.55,Toulouse,Île-de-France,PME,2023-01-12,Produit_Sto_122,Stockage,ElecPlus,Grand,Hiver,False,0.0,401 days
CMD-Q1-00063,CLI0109,PRD0009,8.0,58.82,470.56,2024-01-09,livrée,CB,PACA,EUR,Q1_2024,2024,1,1,1,470.56,Lyon,Occitanie,Grand Compte,2021-12-05,Produit_Inf_9,Informatique,ElecPlus,Moyen,Hiver,False,0.0,765 days
CMD-Q1-00064,CLI0330,PRD0109,4.0,18.3,73.2,2024-03-01,inconnu,Chèque,Île-de-France,EUR,Q1_2024,2024,3,1,4,73.2,Montpellier,PACA,Particulier,2021-07-10,Produit_Sto_109,Stockage,TechPro,Petit,Printemps,False,0.0,965 days
CMD-Q1-00065,CLI0073,PRD0074,5.0,101.69,508.45,2024-02-21,livrée,Virement,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,2,508.45,Paris,Occitanie,PME,2023-03-13,Produit_Aud_74,Audio,ElecPlus,Grand,Hiver,False,0.0,345 days
CMD-Q1-00066,CLI0287,PRD0089,7.0,93.09,651.63,2024-02-19,livrée,CB,Occitanie,EUR,Q1_2024,2024,2,1,0,651.63,Marseille,Nouvelle-Aquitaine,Startup,2020-11-02,Produit_Acc_89,Accessoires,ElecPlus,Grand,Hiver,False,0.0,1204 days
CMD-Q1-00067,CLI0374,PRD0075,2.0,71.64,143.28,2024-03-24,en_cours,CB,PACA,EUR,Q1_2024,2024,3,1,6,143.28,Toulouse,Auvergne-RA,Grand Compte,2022-05-17,Produit_Acc_75,Accessoires,ElecPlus,Moyen,Printemps,False,0.0,677 days
CMD-Q1-00068,CLI0183,PRD0035,7.0,17.54,122.78,2024-01-14,livrée,PayPal,PACA,EUR,Q1_2024,2024,1,1,6,122.78,Bordeaux,PACA,PME,2020-11-19,Produit_Tél_35,Téléphonie,MediaShop,Moyen,Hiver,False,0.0,1151 days
CMD-Q1-00069,CLI0273,PRD0042,3.0,126.36,379.08,2024-03-03,annulée,Chèque,Auvergne-RA,EUR,Q1_2024,2024,3,1,6,379.08,Nantes,Occitanie,Particulier,2021-09-19,Produit_Tél_42,Téléphonie,TechPro,Moyen,Printemps,True,379.08,896 days
CMD-Q1-00070,CLI0331,PRD0152,1.0,499.98,499.98,2024-01-26,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,4,499.98,Nantes,PACA,PME,2023-06-11,Produit_Rés_152,Réseau,ElecPlus,Moyen,Hiver,False,0.0,229 days
CMD-Q1-00071,CLI0112,PRD0020,8.0,304.72,2437.76,2024-03-26,annulée,CB,Île-de-France,EUR,Q1_2024,2024,3,1,1,2437.76,Lyon,Île-de-France,PME,2022-01-22,Produit_Inf_20,Informatique,TechPro,Très grand,Printemps,True,2437.76,794 days
CMD-Q1-00072,CLI0001,PRD0027,7.0,45.84,320.88,2024-03-20,en_cours,CB,Île-de-France,EUR,Q1_2024,2024,3,1,2,320.88,Toulouse,Auvergne-RA,Startup,2021-02-01,Produit_Tél_27,Téléphonie,DataStore,Moyen,Printemps,False,0.0,1143 days
CMD-Q1-00073,CLI0048,PRD0133,1.0,55.03,55.03,2024-01-03,en_cours,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,2,55.03,Lille,Île-de-France,PME,2022-06-29,Produit_Rés_133,Réseau,DataStore,Petit,Hiver,False,0.0,553 days
CMD-Q1-00074,CLI0206,PRD0050,2.0,27.92,55.84,2024-03-19,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,3,1,1,55.84,Lille,Île-de-France,Particulier,2022-04-14,Produit_Tél_50,Téléphonie,DataStore,Petit,Printemps,False,0.0,705 days
CMD-Q1-00075,CLI0001,PRD0013,4.0,59.14,236.56,2024-02-03,livrée,CB,Île-de-France,EUR,Q1_2024,2024,2,1,5,236.56,Toulouse,Auvergne-RA,Startup,2021-02-01,Produit_Inf_13,Informatique,ElecPlus,Moyen,Hiver,False,0.0,1097 days
CMD-Q1-00076,CLI0310,PRD0091,8.0,75.28,602.24,2024-01-02,livrée,Virement,Occitanie,EUR,Q1_2024,2024,1,1,1,602.24,Nice,PACA,Grand Compte,2020-08-20,Produit_Acc_91,Accessoires,TechPro,Grand,Hiver,False,0.0,1230 days
CMD-Q1-00077,CLI0442,PRD0080,1.0,131.51,131.51,2024-01-02,annulée,Virement,Île-de-France,EUR,Q1_2024,2024,1,1,1,131.51,Paris,Auvergne-RA,Grand Compte,2020-02-23,Produit_Acc_80,Accessoires,TechPro,Moyen,Hiver,True,131.51,1409 days
CMD-Q1-00078,CLI0265,PRD0066,5.0,181.07,905.35,2024-03-26,en_cours,Virement,Occitanie,EUR,Q1_2024,2024,3,1,1,905.3499999999999,Strasbourg,Occitanie,Grand Compte,2021-05-06,Produit_Aud_66,Audio,ElecPlus,Grand,Printemps,False,0.0,1055 days
CMD-Q1-00079,CLI0082,PRD0125,4.0,31.95,127.8,2024-01-27,livrée,Virement,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,5,127.8,Toulouse,Nouvelle-Aquitaine,PME,2022-10-19,Produit_Rés_125,Réseau,TechPro,Moyen,Hiver,False,0.0,465 days
CMD-Q1-00080,CLI9997,PRD0056,8.0,46.62,372.96,2024-01-13,livrée,CB,Île-de-France,EUR,Q1_2024,2024,1,1,5,372.96,,,,,Produit_Aud_56,Audio,TechPro,Moyen,Hiver,False,0.0,
CMD-Q1-00081,CLI0071,PRD0067,4.0,126.77,507.08,2024-01-18,retournée,Virement,Auvergne-RA,EUR,Q1_2024,2024,1,1,3,507.08,Nantes,Nouvelle-Aquitaine,Particulier,2023-10-15,Produit_Aud_67,Audio,TechPro,Grand,Hiver,False,0.0,95 days
CMD-Q1-00082,CLI0020,PRD0128,3.0,99.94,299.82,2024-03-28,livrée,PayPal,Île-de-France,EUR,Q1_2024,2024,3,1,3,299.82,Bordeaux,Île-de-France,Particulier,2020-02-03,Produit_Rés_128,Réseau,MediaShop,Moyen,Printemps,False,0.0,1515 days
CMD-Q1-00083,CLI0413,PRD0126,6.0,82.76,496.56,2024-02-10,livrée,Chèque,Auvergne-RA,EUR,Q1_2024,2024,2,1,5,496.56000000000006,Marseille,Île-de-France,PME,2023-11-03,Produit_Rés_126,Réseau,MediaShop,Moyen,Hiver,False,0.0,99 days
CMD-Q1-00084,CLI0403,PRD0119,8.0,496.56,3972.48,2024-02-26,livrée,PayPal,Occitanie,EUR,Q1_2024,2024,2,1,0,3972.48,Bordeaux,Occitanie,Particulier,2022-04-03,Produit_Sto_119,Stockage,MediaShop,Très grand,Hiver,False,0.0,694 days
CMD-Q1-00085,CLI0336,PRD0026,6.0,334.76,2008.56,2024-03-05,en_cours,CB,Île-de-France,EUR,Q1_2024,2024,3,1,1,2008.56,Paris,Occitanie,PME,2022-09-30,Produit_Inf_26,Informatique,ElecPlus,Très grand,Printemps,False,0.0,522 days
CMD-Q1-00086,CLI0016,PRD0078,4.0,217.49,869.96,2024-03-11,livrée,Virement,Auvergne-RA,EUR,Q1_2024,2024,3,1,0,869.96,Paris,PACA,Particulier,2020-03-03,Produit_Acc_78,Accessoires,DataStore,Grand,Printemps,False,0.0,1469 days
CMD-Q1-00087,CLI0198,PRD0058,5.0,118.62,593.1,2024-03-23,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,3,1,5,593.1,Paris,Nouvelle-Aquitaine,Grand Compte,2021-05-31,Produit_Aud_58,Audio,TechPro,Grand,Printemps,False,0.0,1027 days
CMD-Q1-00088,CLI0317,PRD0069,9.0,106.11,954.99,2024-01-02,en_cours,CB,Occitanie,EUR,Q1_2024,2024,1,1,1,954.99,Paris,Nouvelle-Aquitaine,Grand Compte,2021-10-16,Produit_Aud_69,Audio,DataStore,Grand,Hiver,False,0.0,808 days
CMD-Q1-00089,CLI0032,PRD0058,3.0,118.62,355.86,2024-01-31,en_cours,CB,Île-de-France,EUR,Q1_2024,2024,1,1,2,355.86,Nice,Occitanie,PME,2022-03-04,Produit_Aud_58,Audio,TechPro,Moyen,Hiver,False,0.0,698 days
CMD-Q1-00090,CLI0444,PRD0126,5.0,82.76,413.8,2024-03-21,livrée,PayPal,Auvergne-RA,EUR,Q1_2024,2024,3,1,3,413.8,Montpellier,Nouvelle-Aquitaine,Particulier,2021-01-11,Produit_Rés_126,Réseau,MediaShop,Moyen,Printemps,False,0.0,1165 days
CMD-Q1-00091,CLI0127,PRD0130,2.0,186.38,372.76,2024-02-05,livrée,CB,Île-de-France,EUR,Q1_2024,2024,2,1,0,372.76,Toulouse,Occitanie,Particulier,2022-07-04,Produit_Rés_130,Réseau,DataStore,Moyen,Hiver,False,0.0,581 days
CMD-Q1-00092,CLI0429,PRD0041,5.0,48.15,240.75,2024-03-28,livrée,CB,Île-de-France,EUR,Q1_2024,2024,3,1,3,240.75,Toulouse,Île-de-France,Particulier,2022-12-28,Produit_Tél_41,Téléphonie,TechPro,Moyen,Printemps,False,0.0,456 days
